x,y,z
-150,200,-28.5
-150,199,-28.197
-150,198,-27.894
-150,197,-27.567
-150,196,-27.214
-150,195,-26.861
-150,194,-26.508
-150,193,-26.154
-150,192,-25.801
-150,191,-25.448
-150,190,-25.095
-150,189,-24.737
-150,188,-24.346
-150,187,-23.955
-150,186,-23.565
-150,185,-23.174
-150,184,-22.783
-150,183,-22.393
-150,182,-22.002
-150,181,-21.612
-150,180,-21.221
-150,179,-20.83
-150,178,-20.44
-150,177,-20.049
-150,176,-19.427
-150,175,-18.793
-150,174,-18.158
-150,173,-17.524
-150,172,-16.889
-150,171,-16.255
-150,170,-15.614
-150,169,-15
-150,168,-14.396
-150,167,-13.158
-150,166,-11.921
-150,165,-10.683
-150,164,-9.547
-150,163,-8.5161
-150,162,-7.4852
-150,161,-6.4543
-150,160,-5.5335
-150,159,-4.9412
-150,158,-4.7657
-150,157,-4.5903
-150,156,-4.4148
-150,155,-4.2394
-150,154,-4.0822
-150,153,-4.0001
-150,152,-4.0001
-150,151,-4.0001
-150,150,-4.0001
-150,149,-4.0001
-150,148,-4.0001
-150,147,-4.0001
-150,146,-4.0001
-150,145,-4.0001
-150,144,-4.0001
-150,143,-4.0001
-150,142,-3.9732
-150,141,-3.9169
-150,140,-3.8606
-150,139,-3.8043
-150,138,-3.7481
-150,137,-3.6918
-150,136,-3.6355
-150,135,-3.6153
-150,134,-3.6153
-150,133,-3.6153
-150,132,-3.6153
-150,131,-3.51
-150,130,-3.3514
-150,129,-3.2549
-150,128,-3.1584
-150,127,-3.0619
-150,126,-3.0001
-150,125,-2.991
-150,124,-2.9798
-150,123,-2.9685
-150,122,-2.9573
-150,121,-2.946
-150,120,-2.9348
-150,119,-2.9235
-150,118,-2.9123
-150,117,-2.901
-150,116,-2.8897
-150,115,-2.8785
-150,114,-2.8672
-150,113,-2.856
-150,112,-2.8461
-150,111,-2.8461
-150,110,-2.8461
-150,109,-2.8461
-150,108,-2.8461
-150,107,-2.8461
-150,106,-2.8461
-150,105,-2.8461
-150,104,-2.8461
-150,103,-2.8461
-150,102,-2.8461
-150,101,-2.8461
-150,100,-2.8461
-150,99,-2.8461
-150,98,-2.8461
-150,97,-2.8461
-150,96,-2.8461
-150,95,-2.8461
-150,94,-2.8461
-150,93,-2.8461
-150,92,-2.8461
-150,91,-2.8461
-150,90,-2.8461
-150,89,-2.8461
-150,88,-2.8461
-150,87,-2.8461
-150,86,-2.8461
-150,85,-2.8461
-150,84,-2.8461
-150,83,-2.8461
-150,82,-2.8461
-150,81,-2.8461
-150,80,-2.8461
-150,79,-2.8461
-150,78,-2.8461
-150,77,-2.8461
